epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,14377.6,1.15623,1.42688,1.10682,0.59884,0.35894,0.40249,0.27863,1.14524,2.47726,1.17299,0.005842,0.005842,0.005842
44,14709.3,1.15893,1.41472,1.10919,0.57072,0.37088,0.39919,0.27595,1.14714,2.47513,1.17302,0.005743,0.005743,0.005743
45,15041.5,1.14828,1.39722,1.10356,0.59876,0.35947,0.40197,0.27748,1.14634,2.46085,1.17125,0.005644,0.005644,0.005644
46,15373.5,1.1524,1.3906,1.10354,0.60458,0.36173,0.40487,0.2795,1.14306,2.4542,1.16839,0.005545,0.005545,0.005545
47,15705.3,1.14087,1.37133,1.09688,0.60998,0.36133,0.40842,0.28256,1.14118,2.44084,1.16576,0.005446,0.005446,0.005446
48,16037.1,1.13493,1.3476,1.0944,0.61631,0.36584,0.41159,0.28494,1.13846,2.43211,1.16355,0.005347,0.005347,0.005347
49,16368.5,1.12607,1.33503,1.08945,0.63466,0.35858,0.41194,0.28613,1.13948,2.42657,1.16361,0.005248,0.005248,0.005248
50,16700.5,1.13158,1.33546,1.09095,0.62766,0.35914,0.41264,0.28683,1.13766,2.42216,1.16187,0.005149,0.005149,0.005149
51,17032.5,1.13103,1.3228,1.092,0.62815,0.36444,0.41683,0.28943,1.13642,2.41939,1.1603,0.00505,0.00505,0.00505
52,17364.3,1.1212,1.29847,1.08802,0.59914,0.37867,0.418,0.29087,1.13596,2.41593,1.16037,0.004951,0.004951,0.004951
53,17695.8,1.11844,1.29668,1.08578,0.60894,0.37351,0.41683,0.2908,1.13497,2.40905,1.15961,0.004852,0.004852,0.004852
54,18025.3,1.11523,1.26963,1.08303,0.59809,0.37786,0.41832,0.29273,1.13383,2.40732,1.15957,0.004753,0.004753,0.004753
55,18354.8,1.10897,1.2757,1.07894,0.62156,0.37189,0.42195,0.29544,1.133,2.40642,1.15866,0.004654,0.004654,0.004654
56,18683.5,1.113,1.26378,1.07864,0.62054,0.37369,0.42165,0.29594,1.13193,2.40137,1.15755,0.004555,0.004555,0.004555
